date,code,open,high,low,close,change,volume
2026/06/04,6770,82.9,83.4,80.2,81,-3.6,73514423
2026/06/04,TX,46505,46587,46140,46294,-563,59484
2026/06/05,2308,2380,2380,2275,2300,-125,12283892
2026/06/05,2330,2395,2405,2350,2365,-20,43403895
2026/06/05,2368,1290,1350,1270,1315,-35,5359587
2026/06/05,2383,4780,5025,4545,4885,55,2909896
2026/06/05,6770,77,77,73,74.6,-6.4,112133197
2026/06/05,TX,45668,45785,44655,45211,-1099,97457
2026/06/08,2308,2090,2260,2090,2255,-45,15374423
2026/06/08,2330,2230,2320,2230,2295,-70,52273858
2026/06/08,2368,1185,1365,1185,1360,45,5888790
2026/06/08,2383,4575,4810,4530,4770,-115,2667787
2026/06/08,6770,67.2,68.3,67.2,67.5,-7.1,104480847
2026/06/08,TX,42344,43655,42225,43080,-2146,108149
2026/06/09,2308,2265,2435,2215,2415,160,15579800
2026/06/09,2330,2305,2320,2295,2305,10,38847544
2026/06/09,2368,1410,1495,1350,1495,135,12023156
2026/06/09,2383,4965,5065,4820,5065,295,2437441
2026/06/09,6770,70.4,71.5,69.9,71.5,4,57680845
2026/06/09,TX,43661,44750,43552,44665,1582,73328
2026/06/10,2308,2370,2410,2190,2200,-215,18810727
2026/06/10,2330,2285,2300,2255,2255,-50,54194021
2026/06/10,2368,1500,1580,1415,1420,-75,9767166
2026/06/10,2383,5080,5245,4875,4940,-125,2802050
2026/06/10,6770,67,67.8,64.4,64.4,-7.1,132801225
2026/06/10,TX,43839,44481,43126,43422,-1255,94590
2026/06/11,2308,2170,2230,2080,2160,-40,15289457
2026/06/11,2330,2240,2260,2210,2250,,46417523
2026/06/11,2368,1415,1440,1285,1345,-75,7917874
2026/06/11,2383,4995,5130,4800,5095,155,2793147
2026/06/11,6770,62.6,65.1,62.1,64.4,0,70706900
2026/06/11,TX,42643,43509,42050,43241,-126,103003
2026/06/12,2308,2260,2280,2170,2215,55,9897155
2026/06/12,2330,2325,2325,2290,2310,60,26306885
2026/06/12,2368,1425,1450,1305,1320,-25,6276215
2026/06/12,2383,5500,5500,4750,4830,-265,4224358
2026/06/12,6770,68,68,67,67.2,2.8,65105100
2026/06/12,TX,44929,44931,44045,44188,969,80412
2026/06/15,2308,2310,2320,2200,2210,-5,9456969
2026/06/15,2330,2360,2375,2345,2375,65,30228535
2026/06/15,2368,1380,1400,1305,1320,0,5263369
2026/06/15,2383,5000,5080,4935,5030,200,2220308
2026/06/15,6770,69.6,73.9,69.6,73.3,6.1,87139878
2026/06/15,TX,45750,45905,45340,45580,1363,93560
2026/06/16,2308,2265,2270,2220,2230,20,9190426
2026/06/16,2330,2375,2400,2350,2400,25,37145708
2026/06/16,2368,1330,1370,1320,1345,25,4085591
2026/06/16,2383,5120,5220,5065,5120,90,2171931
2026/06/16,6770,75,77.6,71,71,-2.3,291491338
2026/06/16,TX,46124,46198,45463,45772,175,78609
2026/06/17,2308,2220,2220,2140,2155,,11613654
2026/06/17,2330,2355,2385,2350,2385,-15,30059393
2026/06/17,2368,1345,1375,1340,1370,25,3261807
2026/06/17,2383,5105,5230,4885,5200,80,2440312
2026/06/17,6770,70.1,72.5,69.4,70.2,-0.8,187705638
2026/06/17,TX,45345,45745,45113,45668,-96,31546
2026/06/18,2308,2190,2210,2150,2150,-5,12882319
2026/06/18,2330,2395,2415,2385,2410,25,49982610
2026/06/18,2368,1380,1390,1340,1355,-15,3589052
2026/06/18,2383,5460,5600,5230,5600,400,1927746
2026/06/18,6770,71.5,75.3,70.7,74.2,4,245700060
2026/06/18,TX,46470,46778,46260,46769,758,60125
2026/06/22,2308,2170,2195,2135,2150,0,16874717
2026/06/22,2330,2455,2510,2455,2510,100,45207883
2026/06/22,2368,1390,1400,1335,1395,40,5223186
2026/06/22,2383,5815,6045,5815,5825,225,2030502
2026/06/22,6770,79.5,81.6,78.5,81.6,7.4,133236652
2026/06/22,TX,47460,48476,47371,48413,1661,58587
2026/06/23,2308,2170,2170,2080,2080,-70,14787242
2026/06/23,2330,2510,2535,2490,2490,-20,39537895
2026/06/23,2368,1390,1390,1250,1265,,9347906
2026/06/23,2383,5710,5710,5430,5700,-125,2138552
2026/06/23,6770,82.8,86.1,78.3,78.6,-3,504938034
2026/06/23,TX,48650,48711,47404,47436,-992,78573
2026/06/24,2308,2030,2050,1970,2000,-80,23907070
2026/06/24,2330,2435,2445,2390,2390,-100,67304477
2026/06/24,2368,1230,1265,1200,1255,-10,7064225
2026/06/24,2383,5440,5575,5345,5560,-140,1757641
2026/06/24,6770,78,85.7,77.2,85.7,7.1,476043030
2026/06/24,TX,46858,47067,45898,46387,-1050,96199
2026/06/25,2308,2060,2060,1960,1980,-20,13727341
2026/06/25,2330,2410,2420,2390,2390,0,41099957
2026/06/25,2368,1270,1305,1230,1240,-15,6146688
2026/06/25,2383,5700,5700,5500,5640,80,1253427
2026/06/25,6770,89.3,89.3,82.8,83.2,-2.5,479667659
2026/06/25,TX,46993,46997,46091,46544,137,70863
2026/06/26,2308,1925,1935,1790,1810,-170,28604290
2026/06/26,2330,2360,2370,2325,2340,-50,53800344
2026/06/26,2368,1240,1260,1180,1190,-50,5855085
2026/06/26,2383,5640,5640,5220,5255,-385,1391599
2026/06/26,6770,83.2,85.2,78.1,78.3,-4.9,332913359
2026/06/26,TX,45709,45922,44264,44373,-2154,102163
2026/06/29,2308,1860,1970,1850,1905,95,16741799
2026/06/29,2330,2330,2395,2330,2370,30,38133782
